date;time
08.12.2017;11:40:44

t[s];modifyMe[minutes];testCounterNegative[km/h];testCounter[km/h];backgroundlightsize[km/h]
0.020000; ;-850; ; ; 
0.030000; ;-850; ; ; 
0.039000; ;-850; ; ; 
0.049000; ;-850; ; ; 
0.059000; ;-850; ; ; 
0.064000; ; ; ;50; 
0.069000; ;-850; ; ; 
0.079000; ;-850; ; ; 
0.089000;103;-850; ; ; 
0.099000; ;-850; ; ; 
0.104000; ; ;62; ; 
0.109000; ;-850; ; ; 
0.120000; ;-849; ; ; 
0.125000; ; ; ;50; 
0.130000; ;-849; ; ; 
0.139000; ;-849; ; ; 
0.149000; ;-849; ; ; 
0.159000; ;-849; ; ; 
0.169000; ;-849; ; ; 
0.179000; ;-849; ; ; 
0.188000; ; ; ;50; 
0.189000; ;-849; ; ; 
0.190000;103; ; ; ; 
0.207000; ;-849; ; ; 
0.217000; ;-849; ; ; 
0.225000; ; ;62; ; 
0.226000; ;-848; ; ; 
0.234000; ;-848; ; ; 
0.241000; ;-848; ; ; 
0.249000; ; ; ;50; 
0.256000; ;-848; ; ; 
0.265000; ;-848; ; ; 
0.272000; ;-848; ; ; 
0.280000; ;-848; ; ; 
0.290000;103;-848; ; ; 
0.304000; ;-848; ; ; 
0.312000; ;-848; ; ; 
0.319000; ; ; ;50; 
0.325000; ;-847; ; ; 
0.332000; ;-847;63; ; 
0.339000; ;-847; ; ; 
0.349000; ;-847; ; ; 
0.359000; ;-847; ; ; 
0.370000; ;-847; ; ; 
0.378000; ; ; ;50; 
0.379000; ;-847; ; ; 
0.389000; ;-847; ; ; 
0.390000;103; ; ; ; 
0.405000; ;-847; ; ; 
0.412000; ;-847; ; ; 
0.419000; ;-846; ; ; 
0.429000; ;-846; ; ; 
0.439000; ;-846; ; ; 
0.440000; ; ;63; ; 
0.447000; ; ; ;50; 
0.454000; ;-846; ; ; 
0.460000; ;-846; ; ; 
0.469000; ;-846; ; ; 
0.479000; ;-846; ; ; 
0.490000;103;-846; ; ; 
0.504000; ;-846; ; ; 
0.511000; ;-846; ;50; 
0.520000; ;-845; ; ; 
0.530000; ;-845; ; ; 
0.541000; ;-845; ; ; 
0.549000; ; ;63; ; 
0.550000; ;-845; ; ; 
0.560000; ;-845; ; ; 
0.568000; ; ; ;50; 
0.576000; ;-845; ; ; 
0.583000; ;-845; ; ; 
0.590000;103;-845; ; ; 
0.605000; ;-845; ; ; 
0.611000; ;-845; ; ; 
0.619000; ;-844; ; ; 
0.627000; ; ; ;50; 
0.634000; ;-844; ; ; 
0.641000; ;-844; ; ; 
0.649000; ;-844; ; ; 
0.657000; ; ;63; ; 
0.663000; ;-844; ; ; 
0.670000; ;-844; ; ; 
0.679000; ;-844; ; ; 
0.688000; ; ; ;50; 
0.693000;103;-844; ; ; 
0.703000; ;-844; ; ; 
0.709000; ;-844; ; ; 
0.719000; ;-843; ; ; 
0.730000; ;-843; ; ; 
0.740000; ;-843; ; ; 
0.747000; ; ; ;50; 
0.751000; ;-843; ; ; 
0.760000; ;-843; ; ; 
0.767000; ; ;63; ; 
0.772000; ;-843; ; ; 
0.780000; ;-843; ; ; 
0.790000;103;-843; ; ; 
0.800000; ;-843; ; ; 
0.810000; ;-843; ; ; 
0.818000; ; ; ;50; 
0.823000; ;-842; ; ; 
0.829000; ;-842; ; ; 
0.839000; ;-842; ; ; 
0.849000; ;-842; ; ; 
0.859000; ;-842; ; ; 
0.869000; ;-842; ; ; 
0.876000; ; ;64; ; 
0.881000; ;-842; ;50; 
0.889000;103;-842; ; ; 
0.899000; ;-842; ; ; 
0.910000; ;-842; ; ; 
0.920000; ;-841; ; ; 
0.930000; ;-841; ; ; 
0.936000; ; ; ;50; 
0.942000; ;-841; ; ; 
0.950000; ;-841; ; ; 
0.960000; ;-841; ; ; 
0.970000; ;-841; ; ; 
0.979000; ;-841; ; ; 
0.986000; ; ;64; ; 
0.990000; ;-841; ; ; 
0.991000;103; ; ; ; 
0.999000; ;-841; ; ; 
1.000000; ; ; ;50; 
1.009000; ;-841; ; ; 
1.019000; ;-840; ; ; 
1.029000; ;-840; ; ; 
1.039000; ;-840; ; ; 
1.049000; ;-840; ; ; 
1.059000; ;-840; ; ; 
1.064000; ; ; ;50; 
1.069000; ;-840; ; ; 
1.079000; ;-840; ; ; 
1.090000;103;-840; ; ; 
1.100000; ;-840; ; ; 
1.106000; ; ;64; ; 
1.110000; ;-840; ; ; 
1.120000; ;-839; ; ; 
1.125000; ; ; ;50; 
1.130000; ;-839; ; ; 
1.140000; ;-839; ; ; 
1.149000; ;-839; ; ; 
1.159000; ;-839; ; ; 
1.169000; ;-839; ; ; 
1.179000; ;-839; ; ; 
1.187000; ; ; ;50; 
1.192000;103;-839; ; ; 
1.200000; ;-839; ; ; 
1.205000; ; ;64; ; 
1.209000; ;-839; ; ; 
1.219000; ;-838; ; ; 
1.229000; ;-838; ; ; 
1.240000; ;-838; ; ; 
1.245000; ; ; ;50; 
1.250000; ;-838; ; ; 
1.260000; ;-838; ; ; 
1.270000; ;-838; ; ; 
1.280000; ;-838; ; ; 
1.290000;103;-838; ; ; 
1.299000; ;-838; ; ; 
1.309000; ;-838; ; ; 
1.315000; ; ;64; ; 
1.320000; ;-837; ;50; 
1.329000; ;-837; ; ; 
1.339000; ;-837; ; ; 
1.349000; ;-837; ; ; 
1.359000; ;-837; ; ; 
1.369000; ;-837; ; ; 
1.374000; ; ; ;50; 
1.379000; ;-837; ; ; 
1.389000;103;-837; ; ; 
1.399000; ;-837; ; ; 
1.410000; ;-837; ; ; 
1.420000; ;-836; ; ; 
1.425000; ; ;65; ; 
1.430000; ;-836; ; ; 
1.434000; ; ; ;50; 
1.440000; ;-836; ; ; 
1.450000; ;-836; ; ; 
1.460000; ;-836; ; ; 
1.470000; ;-836; ; ; 
1.480000; ;-836; ; ; 
1.490000;103;-836; ; ; 
1.502000; ;-836; ; ; 
1.507000; ; ; ;50; 
1.512000; ;-836; ; ; 
1.519000; ;-835; ; ; 
1.529000; ;-835; ; ; 
1.535000; ; ;65; ; 
1.540000; ;-835; ; ; 
1.549000; ;-835; ; ; 
1.557000; ; ; ;50; 
1.561000; ;-835; ; ; 
1.569000; ;-835; ; ; 
1.579000; ;-835; ; ; 
1.590000;103;-835; ; ; 
1.601000; ;-835; ; ; 
1.610000; ;-835; ; ; 
1.620000; ;-834; ; ; 
1.626000; ; ; ;50; 
1.631000; ;-834; ; ; 
1.640000; ;-834; ; ; 
1.647000; ; ;65; ; 
1.651000; ;-834; ; ; 
1.659000; ;-834; ; ; 
1.669000; ;-834; ; ; 
1.679000; ;-834; ; ; 
1.684000; ; ; ;50; 
1.689000;103;-834; ; ; 
1.699000; ;-834; ; ; 
1.709000; ;-834; ; ; 
1.719000; ;-833; ; ; 
1.729000; ;-833; ; ; 
1.739000; ;-833; ; ; 
1.749000; ;-833; ; ; 
1.755000; ; ;65; ; 
1.759000; ; ; ;50; 
1.760000; ;-833; ; ; 
1.770000; ;-833; ; ; 
1.780000; ;-833; ; ; 
1.790000;103;-833; ; ; 
1.800000; ;-833; ; ; 
1.810000; ;-833; ; ; 
1.816000; ; ; ;50; 
1.820000; ;-832; ; ; 
1.830000; ;-832; ; ; 
1.840000; ;-832; ; ; 
1.850000; ;-832; ; ; 
1.856000; ; ;66; ; 
1.860000; ;-832; ; ; 
1.869000; ;-832; ; ; 
1.875000; ; ; ;50; 
1.879000; ;-832; ; ; 
1.889000;103;-832; ; ; 
1.899000; ;-832; ; ; 
1.909000; ;-832; ; ; 
1.919000; ;-831; ; ; 
1.929000; ;-831; ; ; 
1.935000; ; ; ;50; 
1.939000; ;-831; ; ; 
1.949000; ;-831; ; ; 
1.959000; ;-831; ; ; 
1.969000; ;-831; ; ; 
1.976000; ; ;66; ; 
1.982000; ;-831; ; ; 
1.990000;103;-831; ; ; 
1.999000; ; ; ;50; 
2.004000; ;-831; ; ; 
2.010000; ;-831; ; ; 
2.020000; ;-830; ; ; 
2.030000; ;-830; ; ; 
2.040000; ;-830; ; ; 
2.050000; ;-830; ; ; 
2.057000; ; ; ;50; 
2.062000; ;-830; ; ; 
2.071000; ;-830; ; ; 
2.081000; ; ;66; ; 
2.083000; ;-830; ; ; 
2.099000;103;-830; ; ; 
2.101000; ;-830; ; ; 
2.120000; ;-829; ; ; 
2.133000; ;-829; ;50; 
2.148000; ;-829; ; ; 
2.161000; ;-829; ; ; 
2.175000; ;-829; ; ; 
2.188000; ;-829; ; ; 
2.190000;103; ; ; ; 
2.229000; ;-829;66; ; 
2.232000; ;-828; ; ; 
2.235000; ;-828; ; ; 
2.236000; ; ; ;50; 
2.251000; ;-828; ; ; 
2.265000; ;-828; ;50; 
2.276000; ;-828; ; ; 
2.284000; ;-828; ; ; 
2.294000;103;-828; ; ; 
2.321000; ; ;66; ; 
2.323000; ;-828; ; ; 
2.325000; ;-827; ; ; 
2.347000; ; ; ;50; 
2.349000; ;-827; ; ; 
2.351000; ;-827; ; ; 
2.366000; ;-827; ; ; 
2.374000; ;-827; ; ; 
2.383000; ;-827; ;50; 
2.392000;103;-827; ; ; 
2.402000; ;-827; ; ; 
2.409000; ;-827; ; ; 
2.416000; ; ;67; ; 
2.420000; ;-826; ; ; 
2.429000; ;-826; ; ; 
2.436000; ; ; ;50; 
2.441000; ;-826; ; ; 
2.449000; ;-826; ; ; 
2.459000; ;-826; ; ; 
2.469000; ;-826; ; ; 
2.479000; ;-826; ; ; 
2.490000;103;-826; ; ; 
2.501000; ;-826; ; ; 
2.507000; ; ; ;50; 
2.512000; ;-826; ; ; 
2.522000; ; ;67; ; 
2.523000; ;-825; ; ; 
2.539000; ;-825; ; ; 
2.555000; ;-825; ; ; 
2.566000; ;-825; ; ; 
2.580000; ;-825; ;50; 
2.582000; ;-825; ; ; 
2.598000; ;-825; ; ; 
2.599000;103;-825; ; ; 
2.626000; ;-824; ; ; 
2.641000; ;-824;67; ; 
2.644000; ;-824; ;50; 
2.665000; ;-824; ; ; 
2.680000; ;-824; ; ; 
2.692000; ;-824; ;50; 
2.694000;103; ; ; ; 
2.715000; ;-824; ; ; 
2.716000; ;-824; ; ; 
2.726000; ;-823; ; ; 
2.736000; ;-823; ; ; 
2.746000; ;-823;67; ; 
2.759000; ;-823; ;50; 
2.761000; ;-823; ; ; 
2.772000; ;-823; ; ; 
2.782000; ;-823; ; ; 
2.789000;103;-823; ; ; 
2.800000; ;-823; ; ; 
2.810000; ;-823; ; ; 
2.815000; ; ; ;50; 
2.820000; ;-822; ; ; 
2.830000; ;-822; ; ; 
2.840000; ;-822; ; ; 
2.845000; ; ;68; ; 
2.849000; ;-822; ; ; 
2.859000; ;-822; ; ; 
2.869000; ;-822; ; ; 
2.876000; ; ; ;50; 
2.886000; ;-822; ; ; 
2.896000;103;-822; ; ; 
2.913000; ;-822; ; ; 
2.914000; ;-822; ; ; 
2.926000; ;-821; ; ; 
2.935000; ;-821; ; ; 
2.943000; ;-821; ;50; 
2.954000; ;-821; ; ; 
2.962000; ;-821;68; ; 
2.973000; ;-821; ; ; 
2.986000; ;-821; ; ; 
3.001000;103;-821; ; ; 
3.027000; ;-820; ;50; 
3.041000; ;-820; ; ; 
3.053000; ;-820; ; ; 
3.062000; ;-820; ; ; 
3.076000; ;-820;68;50; 
3.092000;103;-820; ; ; 
3.111000; ;-820; ; ; 
3.122000; ;-819; ; ; 
3.130000; ;-819; ;50; 
3.143000; ;-819; ; ; 
3.150000; ;-819; ; ; 
3.159000; ;-819; ; ; 
3.168000; ; ;68; ; 
3.174000; ;-819; ; ; 
3.179000; ;-819; ; ; 
3.185000; ; ; ;50; 
3.190000;103;-819; ; ; 
3.200000; ;-819; ; ; 
3.210000; ;-819; ; ; 
3.220000; ;-818; ; ; 
3.230000; ;-818; ; ; 
3.240000; ;-818; ; ; 
3.249000; ; ; ;50; 
3.254000; ;-818; ; ; 
3.260000; ;-818; ; ; 
3.270000; ;-818; ; ; 
3.277000; ; ;68; ; 
3.283000; ;-818; ; ; 
3.290000;103;-818; ; ; 
3.300000; ;-818; ; ; 
3.307000; ; ; ;50; 
3.314000; ;-818; ; ; 
3.320000; ;-817; ; ; 
3.329000; ;-817; ; ; 
3.339000; ;-817; ; ; 
3.349000; ;-817; ; ; 
3.364000; ;-817; ; ; 
3.386000; ;-817; ; ; 
3.408000; ; ; ;50; 
3.410000;103;-817; ; ; 
3.412000; ;-817;69; ; 
3.429000; ;-816; ; ; 
3.430000; ;-816; ; ; 
3.440000; ;-816; ; ; 
3.449000; ; ; ;50; 
3.450000; ;-816; ; ; 
3.460000; ;-816; ; ; 
3.470000; ;-816; ; ; 
3.480000; ;-816; ; ; 
3.490000;103;-816; ; ; 
3.508000; ;-816; ; ; 
3.510000; ;-816; ; ; 
3.531000; ; ;69; ; 
3.533000; ;-815; ;50; 
3.547000; ;-815; ; ; 
3.558000; ;-815; ; ; 
3.568000; ;-815; ;50; 
3.570000; ;-815; ; ; 
3.583000; ;-815; ; ; 
3.595000;103;-815; ; ; 
3.615000; ;-815; ; ; 
3.631000; ; ;69; ; 
3.632000; ;-814; ; ; 
3.634000; ;-814; ; ; 
3.656000; ; ; ;50; 
3.658000; ;-814; ; ; 
3.660000; ;-814; ; ; 
3.680000; ;-814; ; ; 
3.701000;103;-814; ; ; 
3.704000; ;-814; ; ; 
3.738000; ; ; ;50; 
3.740000; ;-813; ; ; 
3.742000; ;-813; ; ; 
3.744000; ;-813; ; ; 
3.763000; ; ;69; ; 
3.765000; ;-813; ; ; 
3.785000; ;-813; ;50; 
3.801000;103;-813; ; ; 
3.803000; ;-813; ; ; 
3.827000; ;-812; ; ; 
3.843000; ;-812; ;50; 
3.845000; ;-812;70; ; 
3.859000; ;-812; ; ; 
3.876000; ;-812; ; ; 
3.890000; ;-812; ;50; 
3.892000;103;-812; ; ; 
3.919000; ;-812; ; ; 
3.921000; ;-811; ; ; 
3.929000; ;-811; ; ; 
3.937000; ; ;70; ; 
3.945000; ; ; ;50; 
3.946000; ;-811; ; ; 
3.953000; ;-811; ; ; 
3.959000; ;-811; ; ; 
3.969000; ;-811; ; ; 
3.979000; ;-811; ; ; 
3.989000; ;-811; ; ; 
3.990000;103; ; ; ; 
4.003000; ;-811; ; ; 
4.010000; ; ; ;50; 
4.011000; ;-811; ; ; 
4.020000; ;-810; ; ; 
4.030000; ;-810; ; ; 
4.042000; ;-810; ; ; 
4.056000; ; ;70; ; 
4.057000; ;-810; ; ; 
4.072000; ; ; ;50; 
4.073000; ;-810; ; ; 
4.081000; ;-810; ; ; 
4.090000;103;-810; ; ; 
4.103000; ;-810; ; ; 
4.110000; ;-810; ; ; 
4.120000; ;-809; ; ; 
4.129000; ; ; ;50; 
4.130000; ;-809; ; ; 
4.141000; ;-809; ; ; 
4.157000; ;-809; ; ; 
4.173000; ; ;70; ; 
4.174000; ;-809; ; ; 
4.189000; ;-809; ; ; 
4.192000;103;-809; ; ; 
4.219000; ;-809; ;50; 
4.221000; ;-809; ; ; 
4.222000; ;-808; ; ; 
4.242000; ;-808; ; ; 
4.243000; ;-808; ; ; 
4.266000; ;-808; ; ; 
4.267000; ;-808; ; ; 
4.290000; ; ; ;50; 
4.291000; ;-808; ; ; 
4.293000; ;-808; ; ; 
4.295000;103; ; ; ; 
4.328000; ; ;70; ; 
4.330000; ;-808; ; ; 
4.331000; ;-807; ; ; 
4.347000; ;-807; ;50; 
4.361000; ;-807; ; ; 
4.362000; ;-807; ; ; 
4.374000; ;-807; ; ; 
4.386000; ;-807;71; ; 
4.388000; ; ; ;50; 
4.400000;103;-807; ; ; 
4.402000; ;-807; ; ; 
4.423000; ;-807; ; ; 
4.424000; ;-806; ; ; 
4.437000; ;-806; ; ; 
4.448000; ;-806; ;50; 
4.450000; ;-806; ; ; 
4.466000; ;-806; ; ; 
4.480000; ;-806; ; ; 
4.495000; ; ;71; ; 
4.496000;103;-806; ; ; 
4.520000; ; ; ;50; 
4.521000; ;-806; ; ; 
4.522000; ;-805; ; ; 
4.531000; ;-805; ; ; 
4.539000; ;-805; ; ; 
4.549000; ;-805; ; ; 
4.557000; ; ; ;50; 
4.565000; ;-805; ; ; 
4.574000; ;-805; ; ; 
4.582000; ;-805; ; ; 
4.590000; ;-805; ; ; 
4.591000;103; ; ; ; 
4.604000; ;-805; ; ; 
4.610000; ;-805;71; ; 
4.620000; ;-804; ; ; 
4.627000; ; ; ;50; 
4.634000; ;-804; ; ; 
4.640000; ;-804; ; ; 
4.650000; ;-804; ; ; 
4.659000; ;-804; ; ; 
4.669000; ;-804; ; ; 
4.679000; ;-804; ; ; 
4.685000; ; ; ;50; 
4.689000; ;-804; ; ; 
4.690000;103; ; ; ; 
4.699000; ;-804; ; ; 
4.704000; ; ;71; ; 
4.709000; ;-804; ; ; 
4.719000; ;-803; ; ; 
4.730000; ;-803; ; ; 
4.740000; ;-803; ; ; 
4.747000; ; ; ;50; 
4.751000; ;-803; ; ; 
4.760000; ;-803; ; ; 
4.770000; ;-803; ; ; 
4.780000; ;-803; ; ; 
4.790000;103;-803; ; ; 
4.800000; ;-803; ; ; 
4.810000; ;-803; ; ; 
4.816000; ; ;72; ; 
4.820000; ;-802; ;50; 
4.829000; ;-802; ; ; 
4.839000; ;-802; ; ; 
4.849000; ;-802; ; ; 
4.859000; ;-802; ; ; 
4.870000; ;-802; ; ; 
4.876000; ; ; ;50; 
4.880000; ;-802; ; ; 
4.890000;103;-802; ; ; 
4.900000; ;-802; ; ; 
4.910000; ;-802; ; ; 
4.916000; ; ;72; ; 
4.920000; ;-801; ; ; 
4.930000; ;-801; ; ; 
4.936000; ; ; ;50; 
4.940000; ;-801; ; ; 
4.950000; ;-801; ; ; 
4.960000; ;-801; ; ; 
4.969000; ;-801; ; ; 
4.979000; ;-801; ; ; 
4.989000; ;-801; ; ; 
4.990000;103; ; ; ; 
5.001000; ;-801; ; ; 
5.005000; ; ; ;50; 
5.009000; ;-801; ; ; 
5.019000; ;-800; ; ; 
5.029000; ;-800; ; ; 
5.034000; ; ;72; ; 
5.039000; ;-800; ; ; 
5.049000; ;-800; ; ; 
5.059000; ;-800; ; ; 
5.065000; ; ; ;50; 
5.069000; ;-800; ; ; 
5.080000; ;-800; ; ; 
5.090000;103;-800; ; ; 
5.100000; ;-800; ; ; 
5.110000; ;-800; ; ; 
5.120000; ;-799; ; ; 
5.131000; ;-799; ; ; 
5.144000; ;-799; ;50; 
5.162000; ; ;72; ; 
5.163000; ;-799; ; ; 
5.179000; ;-799; ; ; 
5.191000; ;-799; ; ; 
5.192000;103; ; ; ; 
5.207000; ; ; ;50; 
5.208000; ;-799; ; ; 
5.218000; ;-799; ; ; 
5.227000; ;-798; ; ; 
5.235000; ;-798; ; ; 
5.243000; ;-798; ; ; 
5.252000; ;-798; ; ; 
5.260000; ; ;72; ; 
5.261000; ;-798; ;50; 
5.271000; ;-798; ; ; 
5.279000; ;-798; ; ; 
5.289000; ;-798; ; ; 
5.290000;103; ; ; ; 
5.306000; ;-798; ; ; 
5.316000; ; ; ;50; 
5.317000; ;-798; ; ; 
5.326000; ;-797; ; ; 
5.335000; ;-797; ; ; 
5.340000; ;-797; ; ; 
5.350000; ;-797; ; ; 
5.357000; ; ;73; ; 
5.363000; ;-797; ; ; 
5.370000; ;-797; ; ; 
5.375000; ; ; ;50; 
5.381000; ;-797; ; ; 
5.390000;103;-797; ; ; 
5.409000; ;-797; ; ; 
5.410000; ;-797; ; ; 
5.423000; ;-796; ; ; 
5.437000; ;-796; ; ; 
5.452000; ; ; ;50; 
5.453000; ;-796; ; ; 
5.469000; ;-796; ; ; 
5.485000; ;-796;73; ; 
5.500000; ;-796; ; ; 
5.501000;103;-796; ; ; 
5.528000; ; ; ;50; 
5.529000; ;-796; ; ; 
5.530000; ;-795; ; ; 
5.545000; ;-795; ; ; 
5.553000; ;-795; ; ; 
5.560000; ;-795; ; ; 
5.566000; ; ; ;50; 
5.572000; ;-795; ; ; 
5.578000; ; ;73; ; 
5.584000; ;-795; ; ; 
5.590000;103;-795; ; ; 
5.603000; ;-795; ; ; 
5.610000; ;-795; ; ; 
5.620000; ;-794; ; ; 
5.628000; ; ; ;50; 
5.633000; ;-794; ; ; 
5.640000; ;-794; ; ; 
5.650000; ;-794; ; ; 
5.660000; ;-794; ; ; 
5.670000; ;-794; ; ; 
5.679000; ;-794; ; ; 
5.689000; ; ;73; ; 
5.690000;103;-794; ;50; 
5.703000; ;-794; ; ; 
5.709000; ;-794; ; ; 
5.719000; ;-793; ; ; 
5.729000; ;-793; ; ; 
5.739000; ;-793; ; ; 
5.746000; ; ; ;50; 
5.751000; ;-793; ; ; 
5.759000; ;-793; ; ; 
5.770000; ;-793; ; ; 
5.780000; ;-793; ; ; 
5.795000; ;-793; ; ; 
5.796000;103; ; ; ; 
5.831000; ;-793;73; ; 
5.833000; ;-792; ; ; 
5.835000; ;-792; ; ; 
5.855000; ; ; ;50; 
5.857000; ;-792; ; ; 
5.876000; ;-792; ; ; 
5.895000; ; ; ;50; 
5.896000; ;-792; ; ; 
5.897000;103;-792; ; ; 
5.935000; ;-792; ; ; 
5.936000; ;-792; ; ; 
5.937000; ;-791; ; ; 
5.952000; ; ;74; ; 
5.953000; ;-791; ;50; 
5.969000; ;-791; ; ; 
5.983000; ;-791; ; ; 
5.996000;103;-791; ; ; 
6.035000; ;-791; ;50; 
6.037000; ;-791; ; ; 
6.039000; ;-790; ; ; 
6.040000; ;-790; ; ; 
6.045000; ;-790; ; ; 
6.063000; ; ;74; ; 
6.064000; ;-790; ; ; 
6.065000; ;-790; ; ; 
6.079000; ; ; ;50; 
6.080000; ;-790; ; ; 
6.081000; ;-790; ; ; 
6.093000; ;-790; ; ; 
6.094000;103; ; ; ; 
6.113000; ;-790; ; ; 
6.130000; ;-789; ; ; 
6.131000; ;-789; ; ; 
6.142000; ;-789;74; ; 
6.144000; ; ; ;50; 
6.155000; ;-789; ; ; 
6.164000; ;-789; ; ; 
6.175000; ;-789; ; ; 
6.189000; ;-789; ; ; 
6.190000;103;-789; ; ; 
6.211000; ;-789; ;50; 
6.213000; ;-789; ; ; 
6.229000; ;-788; ; ; 
6.231000; ;-788; ; ; 
6.250000; ; ;74; ; 
6.251000; ;-788; ; ; 
6.253000; ;-788; ; ; 
6.273000; ; ; ;50; 
6.274000; ;-788; ; ; 
6.276000; ;-788; ; ; 
6.294000; ;-788; ; ; 
6.296000; ;-788; ; ; 
6.298000;103; ; ; ; 
6.300000; ;-788; ; ; 
6.334000; ;-788; ; ; 
6.335000; ;-787; ; ; 
6.337000; ;-787; ; ; 
6.356000; ; ; ;50; 
6.357000; ;-787; ; ; 
6.359000; ;-787; ; ; 
6.368000; ;-787;75; ; 
6.380000; ; ; ;50; 
6.381000; ;-787; ; ; 
6.392000;103;-787; ; ; 
6.412000; ;-787; ; ; 
6.422000; ;-786; ; ; 
6.432000; ;-786; ; ; 
6.440000; ;-786; ; ; 
6.449000; ; ; ;50; 
6.450000; ;-786;75; ; 
6.462000; ;-786; ; ; 
6.476000; ;-786; ; ; 
6.485000; ;-786; ; ; 
6.493000;103;-786; ; ; 
6.514000; ;-786; ;50; 
6.525000; ;-785; ; ; 
6.534000; ;-785; ; ; 
6.543000; ;-785; ; ; 
6.552000; ;-785; ; ; 
6.561000; ;-785; ; ; 
6.570000; ;-785;75;50; 
6.582000; ;-785; ; ; 
6.591000;103;-785; ; ; 
6.627000; ;-785; ; ; 
6.628000; ;-785; ; ; 
6.630000; ;-784; ; ; 
6.631000; ;-784; ; ; 
6.650000; ; ; ;50; 
6.652000; ;-784; ; ; 
6.667000; ;-784; ; ; 
6.683000; ; ;75; ; 
6.685000; ;-784; ; ; 
6.686000; ;-784; ; ; 
6.704000; ; ; ;50; 
6.706000;103;-784; ; ; 
6.708000; ;-784; ; ; 
6.710000; ;-784; ; ; 
6.747000; ;-783; ; ; 
6.748000; ;-783; ; ; 
6.751000; ;-783; ; ; 
6.770000; ; ; ;50; 
6.771000; ;-783; ; ; 
6.772000; ;-783; ; ; 
6.793000; ;-783; ; ; 
6.797000; ;-783; ; ; 
6.799000;103; ; ; ; 
6.825000; ;-783;75; ; 
6.827000; ;-783; ; ; 
6.828000; ;-782; ; ; 
6.843000; ; ; ;50; 
6.844000; ;-782; ; ; 
6.846000; ;-782; ; ; 
6.865000; ;-782; ; ; 
6.877000; ;-782; ; ; 
6.886000; ;-782; ;50; 
6.897000; ;-782;76; ; 
6.899000;103; ; ; ; 
6.917000; ;-782; ; ; 
6.918000; ;-782; ; ; 
6.929000; ;-781; ; ; 
6.940000; ;-781; ;50; 
6.950000; ;-781; ; ; 
6.959000; ;-781; ; ; 
6.970000; ;-781; ; ; 
6.979000; ;-781; ; ; 
6.989000; ;-781; ; ; 
6.990000;103; ; ; ; 
6.999000; ;-781; ; ; 
